skill_no,skill_name,campaign_no,media_type
35627307,UHC_KS_Alt_En,5805114,4
35627308,UHC_KS_Alt_Sp,5805114,4
35627305,UHC_KS_GMR_En,5805114,4
35627306,UHC_KS_GMR_Sp,5805114,4
35627301,UHC_KS_Res_En,5805114,4
35627302,UHC_KS_Res_Sp,5805114,4
35627303,UHC_KS_WMR_En,5805114,4
35627304,UHC_KS_WMR_Sp,5805114,4
35627299,UHC_MA_FL_Alt_En,5805114,4
35627300,UHC_MA_FL_Alt_Sp,5805114,4
35627291,UHC_MA_FL_DSNP_Alt_En,5805114,4
35627292,UHC_MA_FL_DSNP_Alt_Sp,5805114,4
35627289,UHC_MA_FL_DSNP_GMR_En,5805114,4
35627290,UHC_MA_FL_DSNP_GMR_Sp,5805114,4
35627285,UHC_MA_FL_DSNP_Res_En,5805114,4
35627286,UHC_MA_FL_DSNP_Res_Sp,5805114,4
35627287,UHC_MA_FL_DSNP_WMR_En,5805114,4
35627288,UHC_MA_FL_DSNP_WMR_Sp,5805114,4
35627297,UHC_MA_FL_GMR_En,5805114,4
35627298,UHC_MA_FL_GMR_Sp,5805114,4
35627293,UHC_MA_FL_Res_En,5805114,4
35627294,UHC_MA_FL_Res_Sp,5805114,4
35627295,UHC_MA_FL_WMR_En,5805114,4
35627296,UHC_MA_FL_WMR_Sp,5805114,4
35627395,UHC_MA_ID_Alt_En,5805114,4
35627396,UHC_MA_ID_Alt_Sp,5805114,4
35627393,UHC_MA_ID_GMR_En,5805114,4
35627394,UHC_MA_ID_GMR_Sp,5805114,4
35627389,UHC_MA_ID_Res_En,5805114,4
35627390,UHC_MA_ID_Res_Sp,5805114,4
35627391,UHC_MA_ID_WMR_En,5805114,4
35627392,UHC_MA_ID_WMR_Sp,5805114,4
35627315,UHC_MA_KY_Alt_En,5805114,4
35627316,UHC_MA_KY_Alt_Sp,5805114,4
35627313,UHC_MA_KY_GMR_En,5805114,4
35627314,UHC_MA_KY_GMR_Sp,5805114,4
35627309,UHC_MA_KY_Res_En,5805114,4
35627310,UHC_MA_KY_Res_Sp,5805114,4
35627311,UHC_MA_KY_WMR_En,5805114,4
35627312,UHC_MA_KY_WMR_Sp,5805114,4
35627331,UHC_MA_LA_Offshore_Alt_En,5805114,4
35627332,UHC_MA_LA_Offshore_Alt_Sp,5805114,4
35627329,UHC_MA_LA_Offshore_GMR_En,5805114,4
35627330,UHC_MA_LA_Offshore_GMR_Sp,5805114,4
35627325,UHC_MA_LA_Offshore_Res_En,5805114,4
35627326,UHC_MA_LA_Offshore_Res_Sp,5805114,4
35627327,UHC_MA_LA_Offshore_WMR_En,5805114,4
35627328,UHC_MA_LA_Offshore_WMR_Sp,5805114,4
35627323,UHC_MA_LA_Onshore_Alt_En,5805114,4
35627324,UHC_MA_LA_Onshore_Alt_Sp,5805114,4
35627321,UHC_MA_LA_Onshore_GMR_En,5805114,4
35627322,UHC_MA_LA_Onshore_GMR_Sp,5805114,4
35627317,UHC_MA_LA_Onshore_Res_En,5805114,4
35627318,UHC_MA_LA_Onshore_Res_Sp,5805114,4
