"flow_id","step_id","action_type","content","default_next","label"
"landing_aetnahealth_sl","sn22_c1_g0_a1","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""SkillWhisper"":{""S"":""Aetna-Health-W-M-R-Spanish""}}}}","s50","SkillWhisper = Aetna-Health-W-M-R-Spanish"
"landing_aetnahealth_sl","sn22_c1_g0_if","CHECK","{""branches"":{""M"":{""True"":{""S"":""sn22_c1_g0_a0""},""False"":{""S"":""sn22_c1_g1_a0""}}},""expression"":{""S"":""Lang == 'spa'""}}","","IF Lang == 'spa'"
"landing_aetnahealth_sl","sn22_c1_g1_a0","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""QueueSkill"":{""S"":""18556373""},""SkillWhisper"":{""S"":""Aetna_WMR EN""}}}}","s50","QueueSkill = 18556373"
"landing_aetnahealth_sl","sn22_c1_g1_a1","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""SkillWhisper"":{""S"":""Aetna-Health-W-M-R-English""}}}}","s50","SkillWhisper = Aetna-Health-W-M-R-English"
"landing_aetnahealth_sl","sn22_c1_sw","CHECK","{""branches"":{""M"":{""True"":{""S"":""sn22_c1_g0_if""},""False"":{""S"":""sn22_c2_sw""}}},""expression"":{""S"":""AHPMenu_RES == '2'""}}","","Skills: Case 2"
"landing_aetnahealth_sl","sn22_c2_g0_a0","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""QueueSkill"":{""S"":""18556372""}}}}","sn22_c2_g0_a1","QueueSkill = 18556372"
"landing_aetnahealth_sl","sn22_c2_g0_a1","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""SkillWhisper"":{""S"":""Aetna-Health-Reservations-Spanish""}}}}","s50","SkillWhisper = Aetna-Health-Reservations-Spanish"
"landing_aetnahealth_sl","sn22_c2_g0_if","CHECK","{""branches"":{""M"":{""True"":{""S"":""sn22_c2_g0_a0""},""False"":{""S"":""sn22_c2_g1_a0""}}},""expression"":{""S"":""Lang == 'spa'""}}","","IF Lang == 'spa'"
"landing_aetnahealth_sl","sn22_c2_g1_a0","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""QueueSkill"":{""S"":""18556371""}}}}","sn22_c2_g1_a1","QueueSkill = 18556371"
"landing_aetnahealth_sl","sn22_c2_g1_a1","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""SkillWhisper"":{""S"":""Aetna-Health-Reservations-English""}}}}","s50","SkillWhisper = Aetna-Health-Reservations-English"
"landing_aetnahealth_sl","sn22_c2_sw","CHECK","{""branches"":{""M"":{""True"":{""S"":""sn22_c2_g0_if""},""False"":{""S"":""s50""}}},""expression"":{""S"":""AHPMenu_RES == '3'""}}","","Skills: Case 3"
"landing_aetnahealth_sl","sn52_c0_g0_a0","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""TextelSendMessageURL"":{""S"":""{TextelAPIBaseURL}/clientapi/v1/nice/send-message""}}}}","sn52_c0_g0_a1","TextelSendMessageURL = {TextelAPIBaseURL}/clientapi/v1/nice/send-message"
"landing_aetnahealth_sl","sn52_c0_g0_a1","SET","{""branches"":{""M"":{}},""assignments"":{""M"":{""TextelSendMessageJSONPayload"":{""S"":""{TextelSendMessageRequestBody.asjson()}""}}}}","s50","TextelSendMessageJSONPayload = {TextelSendMessageRequestBody.asjson()}"
"landing_aetnahealth_sl","start","START","{""branches"":{""M"":{}}}","s42","Flow Start"
